Model,RMSE,MAE,Exogenous_Variable,Training_Period,Test_Period
"ARIMA(1,1,1)",1.1816,0.9315,None,2009-2020,2021-2023
"ARIMAX(1,1,1) + Oil Price",2.7121,2.3558,Brent Oil Price (USD/barrel),2009-2020,2021-2023
